layer,R_flatten_L1_norm,pvalue_L1_norm,R_filter_L1_notm,pvalue_filter_L1_norm
input_1,0.3058454462336615,2.2864575945706246e-19,0.30952039657785646,8.065050628427069e-20
block1_conv1,-0.21846937966030722,2.1529522786310185e-10,0.23905761648415894,3.270845711496471e-12
block1_conv2,-0.31586467340281776,1.288777027884813e-20,0.2814790895092962,1.5866958534174142e-16
block1_pool,-0.23473747884417764,8.142563800711773e-12,0.30993342723129,7.167091846401991e-20
block2_conv1,0.2480461295971119,4.62791482196647e-13,0.2753852254861582,7.391705580136686e-16
block2_conv2,-0.020289791317669968,0.5601199879186138,0.22600401142578916,4.873334867785395e-11
block2_pool,-0.08090927864945226,0.01996238767663901,-0.052759051485370446,0.1295231072986674
block3_conv1,0.23533045294029165,7.192078720526772e-12,0.2221062885581577,1.0580145326915889e-10
block3_conv2,0.034502890983974736,0.3216783043294315,0.15684458052675904,5.8503006643501655e-06
block3_conv3,-0.2783657358501391,3.4993229232280274e-16,-0.29056764844099925,1.488219673312286e-17
block3_pool,-0.2627268068438021,1.6000076563102764e-14,-0.26975646975914264,2.959854615190453e-15
block4_conv1,0.16528396836163267,1.7626753841508614e-06,0.22691776529297272,4.0550791253209623e-11
block4_conv2,-0.18087498520176823,1.6328092423975e-07,-0.19164969475209917,2.7821967538939862e-08
block4_conv3,-0.18556089852782698,7.659834234197493e-08,-0.15564514987427022,6.9034740149388285e-06
block4_pool,-0.2203648422516275,1.489024724944605e-10,-0.24053602983038527,2.3840425167079936e-12
block5_conv1,-0.23704590530220343,5.0127776087683994e-12,0.13843505228827113,6.48894103237475e-05
block5_conv2,-0.09922315473737497,0.004288050218066611,0.15908567103547322,4.279771699684015e-06
block5_conv3,-0.17848904946032906,2.3826557675648681e-07,0.23359287488200706,1.0337180698741514e-11
block5_pool,-0.1988886748954704,7.991532446227317e-09,0.233916383891564,9.664167539323091e-12
flatten,-0.1988886748954704,7.991532446227317e-09,-0.1988886748954704,7.991532446227317e-09
fc1,0.08737681198597286,0.011945283985369334,0.08737681198597286,0.011945283985369334
fc2,0.03358766559033186,0.33468901068840706,0.03358766559033186,0.33468901068840706
,,,,
##############,,,,
time : 1109.2460220853488 minutes,,,,
